Nom,Position,Nationalité,Âge,Club,Valeur marchande,Chemin image
Alexander Sørloth,Alexander Sørloth,Norway,29,Atlético de Madrid,€25.00m,joueurs_images\Alexander_Sørloth.jpg
Andrew Robertson,Andrew Robertson,Scotland,30,Liverpool FC,€25.00m,joueurs_images\Andrew_Robertson.jpg
Konrad Laimer,Konrad Laimer,Austria,27,Bayern Munich,€25.00m,joueurs_images\Konrad_Laimer.jpg
Álex Remiro,Álex Remiro,Spain,29,Real Sociedad,€25.00m,joueurs_images\Álex_Remiro.jpg
Adrien Rabiot,Adrien Rabiot,France,29,Olympique Marseille,€25.00m,joueurs_images\Adrien_Rabiot.jpg
Jan Oblak,Jan Oblak,Slovenia,32,Atlético de Madrid,€25.00m,joueurs_images\Jan_Oblak.jpg
Emiliano Martínez,Emiliano Martínez,"Argentina, Spain",32,Aston Villa,€25.00m,joueurs_images\Emiliano_Martínez.jpg
Thibaut Courtois,Thibaut Courtois,Belgium,32,Real Madrid,€25.00m,joueurs_images\Thibaut_Courtois.jpg
Alisson,Alisson,Brazil,32,Liverpool FC,€25.00m,joueurs_images\Alisson.jpg
Romelu Lukaku,Romelu Lukaku,"Belgium, DR Congo",31,SSC Napoli,€25.00m,joueurs_images\Romelu_Lukaku.jpg
Aleksandar Mitrović,Aleksandar Mitrović,Serbia,30,Al-Hilal SFC,€25.00m,joueurs_images\Aleksandar_Mitrović.jpg
Jack Hinshelwood,Jack Hinshelwood,England,19,Brighton & Hove Albion,€24.00m,joueurs_images\Jack_Hinshelwood.jpg
Elliot Anderson,Elliot Anderson,"England, Scotland",22,Nottingham Forest,€24.00m,joueurs_images\Elliot_Anderson.jpg
Zeno Debast,Zeno Debast,Belgium,21,Sporting CP,€24.00m,joueurs_images\Zeno_Debast.jpg
